,links
47,https://www.tripadvisor.com/Restaurant_Review-g60982-d881171-Reviews-Aja_Sushi_Bento-Honolulu_Oahu_Hawaii.html
48,https://www.tripadvisor.com/Restaurant_Review-g60982-d4165033-Reviews-Max_s_of_Manila-Honolulu_Oahu_Hawaii.html
49,https://www.tripadvisor.com/Restaurant_Review-g60982-d4700025-Reviews-Aloha_Sushi_Bishop-Honolulu_Oahu_Hawaii.html
50,https://www.tripadvisor.com/Restaurant_Review-g60982-d433949-Reviews-Genki_Sushi_Hawaii_Incorporated-Honolulu_Oahu_Hawaii.html
51,https://www.tripadvisor.com/Restaurant_Review-g60982-d4855153-Reviews-9th_Island_Shave_Ice-Honolulu_Oahu_Hawaii.html
52,https://www.tripadvisor.com/Restaurant_Review-g60982-d6157767-Reviews-Pho_Saigon-Honolulu_Oahu_Hawaii.html
53,https://www.tripadvisor.com/Restaurant_Review-g60982-d2485455-Reviews-Eggs_n_Things_Waikiki_Beach_Eggspress-Honolulu_Oahu_Hawaii.html
54,https://www.tripadvisor.com/Restaurant_Review-g60982-d16948417-Reviews-Pier_Nine-Honolulu_Oahu_Hawaii.html
55,https://www.tripadvisor.com/Restaurant_Review-g60982-d4501575-Reviews-Subway-Honolulu_Oahu_Hawaii.html
56,https://www.tripadvisor.com/Restaurant_Review-g60982-d1656709-Reviews-Any_Place_Cocktail_Lounge-Honolulu_Oahu_Hawaii.html
57,https://www.tripadvisor.com/Restaurant_Review-g60982-d3169827-Reviews-Dreamers_Cafe-Honolulu_Oahu_Hawaii.html
58,https://www.tripadvisor.com/Restaurant_Review-g60982-d20283595-Reviews-Don_e_Don_korean_restaurant-Honolulu_Oahu_Hawaii.html
59,https://www.tripadvisor.com/Restaurant_Review-g60982-d12434754-Reviews-Mexican_Fiesta-Honolulu_Oahu_Hawaii.html
60,https://www.tripadvisor.com/Restaurant_Review-g60982-d4211911-Reviews-Bar_35-Honolulu_Oahu_Hawaii.html
61,https://www.tripadvisor.com/Restaurant_Review-g60982-d539195-Reviews-Au_s_Garden_Restaurant-Honolulu_Oahu_Hawaii.html
62,https://www.tripadvisor.com/Restaurant_Review-g60982-d433892-Reviews-Seaside_Grill-Honolulu_Oahu_Hawaii.html
63,https://www.tripadvisor.com/Restaurant_Review-g60982-d4816231-Reviews-Cgee_s_Lunches-Honolulu_Oahu_Hawaii.html
64,https://www.tripadvisor.com/Restaurant_Review-g60982-d7174455-Reviews-Shaka_Shaka_Tea_Express-Honolulu_Oahu_Hawaii.html
65,https://www.tripadvisor.com/Restaurant_Review-g60982-d14014366-Reviews-J_s_BBQ-Honolulu_Oahu_Hawaii.html
66,https://www.tripadvisor.com/Restaurant_Review-g60982-d4165019-Reviews-Quiznos-Honolulu_Oahu_Hawaii.html
67,https://www.tripadvisor.com/Restaurant_Review-g60982-d3644357-Reviews-Summer_Frappe-Honolulu_Oahu_Hawaii.html
68,https://www.tripadvisor.com/Restaurant_Review-g60982-d4914179-Reviews-Loco_Moco-Honolulu_Oahu_Hawaii.html
69,https://www.tripadvisor.com/Restaurant_Review-g60982-d18089343-Reviews-Rainbow_Burrito-Honolulu_Oahu_Hawaii.html
70,https://www.tripadvisor.com/Restaurant_Review-g60982-d3802994-Reviews-Nanzan_Giro_Giro-Honolulu_Oahu_Hawaii.html
71,https://www.tripadvisor.com/Restaurant_Review-g60982-d7103156-Reviews-Heavenly_Island_Lifestyle-Honolulu_Oahu_Hawaii.html
72,https://www.tripadvisor.com/Restaurant_Review-g60982-d4855570-Reviews-A_Place_to_Eat-Honolulu_Oahu_Hawaii.html
73,https://www.tripadvisor.com/Restaurant_Review-g60982-d2425294-Reviews-Island_Style_Barbecue-Honolulu_Oahu_Hawaii.html
74,https://www.tripadvisor.com/Restaurant_Review-g60982-d15861214-Reviews-Dairy_Queen_Treat-Honolulu_Oahu_Hawaii.html
75,https://www.tripadvisor.com/Restaurant_Review-g60982-d3843308-Reviews-Eggs_n_Things_Ala_Moana-Honolulu_Oahu_Hawaii.html
76,https://www.tripadvisor.com/Restaurant_Review-g60982-d13827850-Reviews-Chef_s_Ramen-Honolulu_Oahu_Hawaii.html
77,https://www.tripadvisor.com/Restaurant_Review-g60982-d630219-Reviews-Gyu_Kaku_Japanese_BBQ-Honolulu_Oahu_Hawaii.html
78,https://www.tripadvisor.com/Restaurant_Review-g60982-d8778746-Reviews-Aloha_Stadium_Concession-Honolulu_Oahu_Hawaii.html
79,https://www.tripadvisor.com/Restaurant_Review-g60982-d9791552-Reviews-L_L_Hawaiian_Barbecue-Honolulu_Oahu_Hawaii.html
80,https://www.tripadvisor.com/Restaurant_Review-g60982-d12703655-Reviews-Sakura_Ramen-Honolulu_Oahu_Hawaii.html
81,https://www.tripadvisor.com/Restaurant_Review-g60982-d15740633-Reviews-Seoul_Tofu_House-Honolulu_Oahu_Hawaii.html
82,https://www.tripadvisor.com/Restaurant_Review-g60982-d10800968-Reviews-STRIPSTEAK_Waikiki-Honolulu_Oahu_Hawaii.html
83,https://www.tripadvisor.com/Restaurant_Review-g60982-d12625093-Reviews-Honolulu_Juice_Factory-Honolulu_Oahu_Hawaii.html
84,https://www.tripadvisor.com/Restaurant_Review-g60982-d847732-Reviews-Hanagasa_Inn-Honolulu_Oahu_Hawaii.html
85,https://www.tripadvisor.com/Restaurant_Review-g60982-d6895800-Reviews-The_Barefoot_Bar-Honolulu_Oahu_Hawaii.html
86,https://www.tripadvisor.com/Restaurant_Review-g60982-d19134526-Reviews-Liliha_Drive_Inn-Honolulu_Oahu_Hawaii.html
87,https://www.tripadvisor.com/Restaurant_Review-g60982-d4498243-Reviews-Round_Table_Pizza-Honolulu_Oahu_Hawaii.html
88,https://www.tripadvisor.com/Restaurant_Review-g60982-d13327576-Reviews-Le_Crepe_Cafe_Manoa_valley-Honolulu_Oahu_Hawaii.html
89,https://www.tripadvisor.com/Restaurant_Review-g60982-d16880178-Reviews-Bread_Butter-Honolulu_Oahu_Hawaii.html
90,https://www.tripadvisor.com/Restaurant_Review-g60982-d4556991-Reviews-Little_Caesars-Honolulu_Oahu_Hawaii.html
91,https://www.tripadvisor.com/Restaurant_Review-g60982-d19672393-Reviews-Me_Myself_And_Thai-Honolulu_Oahu_Hawaii.html
92,https://www.tripadvisor.com/Restaurant_Review-g60982-d15246961-Reviews-Deck-Honolulu_Oahu_Hawaii.html
93,https://www.tripadvisor.com/Restaurant_Review-g60982-d16663857-Reviews-Waioli_Kitchen_and_Bake_Shop-Honolulu_Oahu_Hawaii.html
94,https://www.tripadvisor.com/Restaurant_Review-g60982-d5081619-Reviews-Genki_Sushi-Honolulu_Oahu_Hawaii.html
95,https://www.tripadvisor.com/Restaurant_Review-g60982-d434265-Reviews-A_Little_Bit_of_Saigon_Restaurant-Honolulu_Oahu_Hawaii.html
96,https://www.tripadvisor.com/Restaurant_Review-g60982-d12583591-Reviews-Curry_House_Coco_Ichibanya-Honolulu_Oahu_Hawaii.html
97,https://www.tripadvisor.com/Restaurant_Review-g60982-d8673364-Reviews-Sushi_Bimbibab-Honolulu_Oahu_Hawaii.html
98,https://www.tripadvisor.com/Restaurant_Review-g60982-d14784763-Reviews-Hakuna_Banana-Honolulu_Oahu_Hawaii.html
99,https://www.tripadvisor.com/Restaurant_Review-g60982-d4497125-Reviews-Subway-Honolulu_Oahu_Hawaii.html
100,https://www.tripadvisor.com/Restaurant_Review-g60982-d4368407-Reviews-Saigon_Deli-Honolulu_Oahu_Hawaii.html
101,https://www.tripadvisor.com/Restaurant_Review-g60982-d434634-Reviews-Denny_s-Honolulu_Oahu_Hawaii.html
102,https://www.tripadvisor.com/Restaurant_Review-g60982-d20037559-Reviews-Subway-Honolulu_Oahu_Hawaii.html
103,https://www.tripadvisor.com/Restaurant_Review-g60982-d832807-Reviews-Mitsuba_Delicatessen-Honolulu_Oahu_Hawaii.html
104,https://www.tripadvisor.com/Restaurant_Review-g60982-d434297-Reviews-Pho_Huong_Lan-Honolulu_Oahu_Hawaii.html
105,https://www.tripadvisor.com/Restaurant_Review-g60982-d7341975-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_and_Spa-Honolulu_Oahu_Hawaii.html
106,https://www.tripadvisor.com/Restaurant_Review-g60982-d7894031-Reviews-Waikiki_Brewing_Company-Honolulu_Oahu_Hawaii.html
107,https://www.tripadvisor.com/Restaurant_Review-g60982-d13811436-Reviews-Jamba_Juice-Honolulu_Oahu_Hawaii.html
108,https://www.tripadvisor.com/Restaurant_Review-g60982-d434359-Reviews-Regal_Diner-Honolulu_Oahu_Hawaii.html
109,https://www.tripadvisor.com/Restaurant_Review-g60982-d19672392-Reviews-Nio_Snow_Ice-Honolulu_Oahu_Hawaii.html
110,https://www.tripadvisor.com/Restaurant_Review-g60982-d5443054-Reviews-Ramen_santouka_honolulu-Honolulu_Oahu_Hawaii.html
111,https://www.tripadvisor.com/Restaurant_Review-g60982-d9718054-Reviews-Mickey_Cafe-Honolulu_Oahu_Hawaii.html
112,https://www.tripadvisor.com/Restaurant_Review-g60982-d12332203-Reviews-Bob_s_Big_Bear_Restaurant-Honolulu_Oahu_Hawaii.html
113,https://www.tripadvisor.com/Restaurant_Review-g60982-d2608360-Reviews-Catners_Seafood_Palace-Honolulu_Oahu_Hawaii.html
114,https://www.tripadvisor.com/Restaurant_Review-g60982-d20232445-Reviews-Tokyo_Noodle_House-Honolulu_Oahu_Hawaii.html
115,https://www.tripadvisor.com/Restaurant_Review-g60982-d10516149-Reviews-Kanak_Shack-Honolulu_Oahu_Hawaii.html
116,https://www.tripadvisor.com/Restaurant_Review-g60982-d5012886-Reviews-Panda_Express-Honolulu_Oahu_Hawaii.html
117,https://www.tripadvisor.com/Restaurant_Review-g60982-d434434-Reviews-Chuck_s_Cellar-Honolulu_Oahu_Hawaii.html
118,https://www.tripadvisor.com/Restaurant_Review-g60982-d16935920-Reviews-Hi_Tea_Cafe-Honolulu_Oahu_Hawaii.html
119,https://www.tripadvisor.com/Restaurant_Review-g60982-d4635867-Reviews-Evergreen_Restaurant-Honolulu_Oahu_Hawaii.html
120,https://www.tripadvisor.com/Restaurant_Review-g60982-d4165026-Reviews-Taco_Bell-Honolulu_Oahu_Hawaii.html
121,https://www.tripadvisor.com/Restaurant_Review-g60982-d4557047-Reviews-123_Wok-Honolulu_Oahu_Hawaii.html
122,https://www.tripadvisor.com/Restaurant_Review-g60982-d434415-Reviews-Round_Table_Pizza-Honolulu_Oahu_Hawaii.html
123,https://www.tripadvisor.com/Restaurant_Review-g60982-d5085581-Reviews-Jewel_Or_Juice-Honolulu_Oahu_Hawaii.html
124,https://www.tripadvisor.com/Restaurant_Review-g60982-d3426586-Reviews-Inferno_s_Wood_Fire_Pizza-Honolulu_Oahu_Hawaii.html
125,https://www.tripadvisor.com/Restaurant_Review-g60982-d15876104-Reviews-Allegrini_Mozzarella_Ltd-Honolulu_Oahu_Hawaii.html
126,https://www.tripadvisor.com/Restaurant_Review-g60982-d13159440-Reviews-Hale_Ikena-Honolulu_Oahu_Hawaii.html
127,https://www.tripadvisor.com/Restaurant_Review-g60982-d1391769-Reviews-The_Counter-Honolulu_Oahu_Hawaii.html
128,https://www.tripadvisor.com/Restaurant_Review-g60982-d12617105-Reviews-Cafe_Fusion-Honolulu_Oahu_Hawaii.html
129,https://www.tripadvisor.com/Restaurant_Review-g60982-d5602882-Reviews-Highway_Inn_Kaka_ako-Honolulu_Oahu_Hawaii.html
130,https://www.tripadvisor.com/Restaurant_Review-g60982-d20091982-Reviews-Sun_s_Up_Hawaii-Honolulu_Oahu_Hawaii.html
131,https://www.tripadvisor.com/Restaurant_Review-g60982-d13326208-Reviews-Banhmisandwich-Honolulu_Oahu_Hawaii.html
132,https://www.tripadvisor.com/Restaurant_Review-g60982-d18971001-Reviews-Fat_Cheeks-Honolulu_Oahu_Hawaii.html
133,https://www.tripadvisor.com/Restaurant_Review-g60982-d4557030-Reviews-Pho_Twin_Bento-Honolulu_Oahu_Hawaii.html
134,https://www.tripadvisor.com/Restaurant_Review-g60982-d6963845-Reviews-Earl_Sandwich-Honolulu_Oahu_Hawaii.html
135,https://www.tripadvisor.com/Restaurant_Review-g60982-d2578326-Reviews-Kuru_Kuru_Sushi-Honolulu_Oahu_Hawaii.html
136,https://www.tripadvisor.com/Restaurant_Review-g60982-d2440660-Reviews-YoonCy_BBQ-Honolulu_Oahu_Hawaii.html
137,https://www.tripadvisor.com/Restaurant_Review-g60982-d10224065-Reviews-Indian_Grill-Honolulu_Oahu_Hawaii.html
138,https://www.tripadvisor.com/Restaurant_Review-g60982-d433899-Reviews-Donato_s_Restaurant-Honolulu_Oahu_Hawaii.html
139,https://www.tripadvisor.com/Restaurant_Review-g60982-d4543517-Reviews-Seoul_Jung-Honolulu_Oahu_Hawaii.html
140,https://www.tripadvisor.com/Restaurant_Review-g60982-d2315006-Reviews-Pavilion_Cafe-Honolulu_Oahu_Hawaii.html
141,https://www.tripadvisor.com/Restaurant_Review-g60982-d434379-Reviews-La_Mariana_Restaurant_Bar-Honolulu_Oahu_Hawaii.html
142,https://www.tripadvisor.com/Restaurant_Review-g60982-d4683472-Reviews-Camelot_Restaurant_Lounge-Honolulu_Oahu_Hawaii.html
143,https://www.tripadvisor.com/Restaurant_Review-g60982-d2090805-Reviews-Genki_Sushi-Honolulu_Oahu_Hawaii.html
144,https://www.tripadvisor.com/Restaurant_Review-g60982-d15253165-Reviews-Godiva_Chocolatier-Honolulu_Oahu_Hawaii.html
145,https://www.tripadvisor.com/Restaurant_Review-g60982-d8491362-Reviews-Aloha_Plate_Food_Truck-Honolulu_Oahu_Hawaii.html
146,https://www.tripadvisor.com/Restaurant_Review-g60982-d4161913-Reviews-Tealani_Tea_Co-Honolulu_Oahu_Hawaii.html
147,https://www.tripadvisor.com/Restaurant_Review-g60982-d2453138-Reviews-Rivals_Waikiki-Honolulu_Oahu_Hawaii.html
148,https://www.tripadvisor.com/Restaurant_Review-g60982-d854390-Reviews-Watanabe_Bakery-Honolulu_Oahu_Hawaii.html
149,https://www.tripadvisor.com/Restaurant_Review-g60982-d15327957-Reviews-South_Beach_Cafe-Honolulu_Oahu_Hawaii.html
150,https://www.tripadvisor.com/Restaurant_Review-g60982-d434395-Reviews-Senba_Restaurant-Honolulu_Oahu_Hawaii.html
151,https://www.tripadvisor.com/Restaurant_Review-g60982-d6103064-Reviews-Jazz_Minds-Honolulu_Oahu_Hawaii.html
152,https://www.tripadvisor.com/Restaurant_Review-g60982-d19335842-Reviews-Kikue_Restaurant-Honolulu_Oahu_Hawaii.html
153,https://www.tripadvisor.com/Restaurant_Review-g60982-d9813939-Reviews-Siam_Palace_Thai_Restaurant-Honolulu_Oahu_Hawaii.html
154,https://www.tripadvisor.com/Restaurant_Review-g60982-d875794-Reviews-Cho_Dang_Restaurant-Honolulu_Oahu_Hawaii.html
155,https://www.tripadvisor.com/Restaurant_Review-g60982-d16783418-Reviews-Off_The_Hook_Poke_Market-Honolulu_Oahu_Hawaii.html
156,https://www.tripadvisor.com/Restaurant_Review-g60982-d4661368-Reviews-Wedding_Cafe-Honolulu_Oahu_Hawaii.html
157,https://www.tripadvisor.com/Restaurant_Review-g60982-d13552035-Reviews-Coco_Bento-Honolulu_Oahu_Hawaii.html
158,https://www.tripadvisor.com/Restaurant_Review-g60982-d1156553-Reviews-Mexico_Restaurant-Honolulu_Oahu_Hawaii.html
159,https://www.tripadvisor.com/Restaurant_Review-g60982-d3514755-Reviews-Tairyo-Honolulu_Oahu_Hawaii.html
160,https://www.tripadvisor.com/Restaurant_Review-g60982-d8489342-Reviews-Country_Shave_Ice-Honolulu_Oahu_Hawaii.html
161,https://www.tripadvisor.com/Restaurant_Review-g60982-d1379000-Reviews-Beachhouse_at_the_Moana-Honolulu_Oahu_Hawaii.html
162,https://www.tripadvisor.com/Restaurant_Review-g60982-d17788355-Reviews-Wave_Tea-Honolulu_Oahu_Hawaii.html
163,https://www.tripadvisor.com/Restaurant_Review-g60982-d1997561-Reviews-Kim_chee_2-Honolulu_Oahu_Hawaii.html
164,https://www.tripadvisor.com/Restaurant_Review-g60982-d15618558-Reviews-So_Gong_Dong-Honolulu_Oahu_Hawaii.html
165,https://www.tripadvisor.com/Restaurant_Review-g60982-d7784783-Reviews-Square_Barrels-Honolulu_Oahu_Hawaii.html
166,https://www.tripadvisor.com/Restaurant_Review-g60982-d6827839-Reviews-Bacchus_Bar-Honolulu_Oahu_Hawaii.html
167,https://www.tripadvisor.com/Restaurant_Review-g60982-d4162897-Reviews-Sushi_Plus-Honolulu_Oahu_Hawaii.html
168,https://www.tripadvisor.com/Restaurant_Review-g60982-d434486-Reviews-Okata_Bento-Honolulu_Oahu_Hawaii.html
169,https://www.tripadvisor.com/Restaurant_Review-g60982-d7372560-Reviews-Boston_Pizza-Honolulu_Oahu_Hawaii.html
170,https://www.tripadvisor.com/Restaurant_Review-g60982-d434606-Reviews-Longhi_s_Ko_Olina-Honolulu_Oahu_Hawaii.html
171,https://www.tripadvisor.com/Restaurant_Review-g60982-d548001-Reviews-Hula_Grill_Waikiki-Honolulu_Oahu_Hawaii.html
172,https://www.tripadvisor.com/Restaurant_Review-g60982-d15860506-Reviews-Burger_King-Honolulu_Oahu_Hawaii.html
173,https://www.tripadvisor.com/Restaurant_Review-g60982-d2476333-Reviews-Ramen_Ya-Honolulu_Oahu_Hawaii.html
174,https://www.tripadvisor.com/Restaurant_Review-g60982-d12732373-Reviews-MoDo-Honolulu_Oahu_Hawaii.html
175,https://www.tripadvisor.com/Restaurant_Review-g60982-d433865-Reviews-MOOSE_McGillycuddy_s-Honolulu_Oahu_Hawaii.html
176,https://www.tripadvisor.com/Restaurant_Review-g60982-d4841364-Reviews-Asian_Mix-Honolulu_Oahu_Hawaii.html
177,https://www.tripadvisor.com/Restaurant_Review-g60982-d1808498-Reviews-Pho_Minh_Thu-Honolulu_Oahu_Hawaii.html
178,https://www.tripadvisor.com/Restaurant_Review-g60982-d9859169-Reviews-Mai_Tai_Bar-Honolulu_Oahu_Hawaii.html
179,https://www.tripadvisor.com/Restaurant_Review-g60982-d6032136-Reviews-The_Patisserie-Honolulu_Oahu_Hawaii.html
180,https://www.tripadvisor.com/Restaurant_Review-g60982-d7348337-Reviews-Bfills_Hawaiian-Honolulu_Oahu_Hawaii.html
181,https://www.tripadvisor.com/Restaurant_Review-g60982-d6826567-Reviews-Lime_Light_Kitchen-Honolulu_Oahu_Hawaii.html
182,https://www.tripadvisor.com/Restaurant_Review-g60982-d19873311-Reviews-Maile_s_Thai_at_Ward-Honolulu_Oahu_Hawaii.html
183,https://www.tripadvisor.com/Restaurant_Review-g60982-d4027239-Reviews-Ellen_edwin22-Honolulu_Oahu_Hawaii.html
184,https://www.tripadvisor.com/Restaurant_Review-g60982-d4162873-Reviews-Pizza_Hut-Honolulu_Oahu_Hawaii.html
185,https://www.tripadvisor.com/Restaurant_Review-g60982-d2660628-Reviews-Natsunoya_Teahouse-Honolulu_Oahu_Hawaii.html
186,https://www.tripadvisor.com/Restaurant_Review-g60982-d5212805-Reviews-Horeo_s_Chicken-Honolulu_Oahu_Hawaii.html
187,https://www.tripadvisor.com/Restaurant_Review-g60982-d5092768-Reviews-Ice_Forest_Shave_Ice_Wonderland-Honolulu_Oahu_Hawaii.html
188,https://www.tripadvisor.com/Restaurant_Review-g60982-d4164942-Reviews-Domino_s_Pizza-Honolulu_Oahu_Hawaii.html
189,https://www.tripadvisor.com/Restaurant_Review-g60982-d1051477-Reviews-Bali_Steak_Seafood-Honolulu_Oahu_Hawaii.html
190,https://www.tripadvisor.com/Restaurant_Review-g60982-d4835259-Reviews-Cafe_Central_Honolulu-Honolulu_Oahu_Hawaii.html
191,https://www.tripadvisor.com/Restaurant_Review-g60982-d5965885-Reviews-Kings_Korner-Honolulu_Oahu_Hawaii.html
192,https://www.tripadvisor.com/Restaurant_Review-g60982-d433879-Reviews-Mariposa-Honolulu_Oahu_Hawaii.html
193,https://www.tripadvisor.com/Restaurant_Review-g60982-d11743190-Reviews-BIC_Tacos-Honolulu_Oahu_Hawaii.html
194,https://www.tripadvisor.com/Restaurant_Review-g60982-d12966428-Reviews-Amnesia_Waikiki-Honolulu_Oahu_Hawaii.html
195,https://www.tripadvisor.com/Restaurant_Review-g60982-d12185452-Reviews-Rock_Bottom_Sports_Bar-Honolulu_Oahu_Hawaii.html
196,https://www.tripadvisor.com/Restaurant_Review-g60982-d590757-Reviews-Inaba_Restaurant-Honolulu_Oahu_Hawaii.html
197,https://www.tripadvisor.com/Restaurant_Review-g60982-d4513307-Reviews-Siamese_Monster-Honolulu_Oahu_Hawaii.html
198,https://www.tripadvisor.com/Restaurant_Review-g60982-d4712511-Reviews-Wild_Bean_Espresso-Honolulu_Oahu_Hawaii.html
199,https://www.tripadvisor.com/Restaurant_Review-g60982-d14953235-Reviews-Pho_88-Honolulu_Oahu_Hawaii.html
200,https://www.tripadvisor.com/Restaurant_Review-g60982-d434429-Reviews-Furusato_Japanese_Restaurant-Honolulu_Oahu_Hawaii.html
201,https://www.tripadvisor.com/Restaurant_Review-g60982-d13510562-Reviews-Waikiki_Brewing_Company-Honolulu_Oahu_Hawaii.html
202,https://www.tripadvisor.com/Restaurant_Review-g60982-d1718677-Reviews-Hana_no_Sato-Honolulu_Oahu_Hawaii.html
